Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot1-16_1_3182.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot1-16_1_3183.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot1-16_1_3184.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot1-16_1_3185.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot1-17_1_3187.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot1-17_1_3188.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot1-17_1_3189.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot1-17_1_3190.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot1-18_1_3192.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot1-18_1_3193.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot1-18_1_3194.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot1-18_1_3195.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot1-19_1_3197.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot1-19_1_3198.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot1-19_1_3199.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot1-19_1_3200.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot1-20_1_3202.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot1-20_1_3203.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot1-20_1_3204.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot1-20_1_3205.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot1-21_1_3207.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot1-21_1_3208.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot1-21_1_3209.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot1-21_1_3210.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot2-34_1_9883.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot2-34_1_9884.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot2-34_1_9885.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot2-34_1_9886.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot2-35_1_9888.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot2-35_1_9889.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot2-35_1_9890.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot2-35_1_9891.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot2-36_1_9893.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot2-36_1_9894.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot2-36_1_9895.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot2-36_1_9896.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot2-37_1_9898.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot2-37_1_9899.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot2-37_1_9900.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot2-37_1_9901.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot2-38_1_9903.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot2-38_1_9904.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot2-38_1_9905.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot2-38_1_9906.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot2-39_1_9908.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot2-39_1_9909.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot2-39_1_9910.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot2-39_1_9911.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B								6539.1				7552.78	9610.15	9342.88	10413.2	9153.8	9297.13	8223.43	8850.84	8727.93	9243.85	9770.41	8802.46	10515.4	5717.5		6183.91	5421.73	6380.78	5241.26			7216.06	7963.43	6432.87	8723.58	9449.51	11293.3	10199.3	10330.3	9843.39	10108.4	9828.81	11745	11529	10772.8	11378.8	10086.1
A0A096LP01	A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	6894.36	7312.24	6392.88	7054.22	7257.48	8301.04	7230.64	7919.21	7740.1	7698.68	6932.26	7323.03	2332.6	2213.23	2496.05	3182.48		1638.11	2648.16	2777.87	2046.05	3117.66	3136.12	2729.76	6673.62	9500.9	6881.15	5947.25	6328.7	5508.68	6082.41	5790.22	9422.53	9601.95	10766	5879.39	2383.87	2594.03	2476.24	2367.85	2929.92	2534.16	2426.16	2527.5	2385.39	2271.89	3591.35	2547.12
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	49781.3	44759.9	45954.8	44503.4	49544.8	38934	43852.2	44105.7	49995.1	44392.9	40587.6	42633.8	100191	104522	100508	105636	107932	116026	112724	119742	96504.6	95907.1	96098.8	97892.5	46018.1	45792.3	45728.9	46372.3	42156.9	47617.9	44145	44829.8	47381.9	49942.1	46056.2	46595.7	105689	113876	115795	113386	127318	126520	131458	126934	104455	105320	107038	106923
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	14835.5		15811.9		17203	16528.4	17119.6	16665.8	16823	14302.1	16634.3	16370	18479.3	19496.1	18897.8	18347.9	13775.8	14083.1	15048.6	15164.9	18896.6	20338.3	19545.9	19524.5	15622.8	15934.4	15512.3	17075.7	17103.3	15958.8	16906.1	16716.2	14573.1	15726.8	15568.1	17169.9	20381.1	19409.8	18945.4	18989	16792.2	16171.6	16210.4	17472	22868.9	23478.2	21950.5	23431.4
A0A0J9YXQ4	A0A0J9YXQ4;A0A0J9YX94	PMA6E_HUMAN	PNMA6E	Paraneoplastic antigen Ma6E	10465.4	11344.1	10298.9	13128.8	6287.41	12228.5		9545.76			10459.2	8692.92													8820.32	7633.72	7809.22	7812.34	8795.38	7669.18	6670.1	6655.54		7022.25	6928.21	7936.39	8441.18	8610.66	7964.82		6395.82	6767.13	5845.89	5842.71	7061.69	7312.35	6881.5	
A0A0U1RRI6	P0DPI3;A0A0U1RRI6;A0A0U1RR11	CENL3_HUMAN	CENPVL3	Centromere protein V-like protein 3	66738.9	69394.1	68727		69726.3	75575.9		73994.2	68406.7	62600.9				30428.6					22580	21880.3			22568.3	24832.8	74798.7	72610.8		75666.4		80229.7		79447.8	75133.5			78404.6	26557.7	27464		28109.1			24101.6	22119.4	25551.3	25234.4		25403.8
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	72270.9	72922.5	71635.9	70915.6	69931.1	70640.5	70594.1	70456.1	74981	74883.2	73933.6	76235.4	15301.1	16163.6	13979	13810.5	13731.9	14670.8	13620.9	17178	16079	14781.9	15339.9	15058.5	73060.1	72856.5	73845.8	75356.9	71914.1	70579.9	72551.9	72794.3	70254.4	69887.6	73106.3	73530.4	13114.6	13409.1	13388.5	13419.5	14225.6	13950.7	13887.3	14164.5	13428.5	14325.8	13509.8	13735.1
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	13733.2	11827.8	12064	12217.8	11363.4	10289.8	10204.4	9666.32	14243.7	11287.3	11521.3	13391.9	10693.4	8943.36	9644.88	8547.41	10123.6	10703	10895.5	10198.9	11012.1	9396.41	10964.1	9845.01	11446.8	11951.4	10632.7	10668.6	9886.12	9591.05	10173.6	10067.9	10928.8	10525.4	11184.6	11388.5	8040.13	8237.75	7997.99	7399.27	8999.56	9581.68	8561.55	8064.34	9245.65	8528.97	8240.55	11096.4
A0AVI4	A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129	9455.85	8295.13	9005.41	9562.32	10059.8	9784.19	8361.9	9790.58	7328.34	7804.62	7275.89	7937.29	5566.68	4392.53	6926.16	5886.76	5787.18	5823.23	5411.54	7003.6	7210.04		5186.34	5213.44	4859.39	6546.01	3900.73	4454.14	6018.29	3451.96	6862.11	7065.35	7104.19	6928.58	7219.18	8404.26	7988.32	7395.71	8602.14	8733.2	8961.31	8390.09	9092.66	8860.7	8550.33	9576.55	7719.89	9105.47
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	73611.8	76476.4	75261.8	75742.1	72896.9	72410.4	73703.9	74167.7	75048	74354.4	74372	76816.2	95973.7	97914.4	97965.1	95224.5	96692.4	99475.6	96214	97720.1	102037	98848.6	98611	97652.4	81323.1	81659.5	80622.6	82473.1	80183.4	80485.3	79789.9	80661.9	77619	78464.9	79166.5	79211.2	101686	101273	100094	100266	100730	98656.3	100004	99692.7	102500	100714	101049	101225
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	54921.9	55741.6	58234.3	56994.1	61066	58673.1	58336.3	55768.1	58819.2	58003.4	57390.1	56390.5	53813.6	54084.6	56986.7	54717.2	55370.5	52893	52755.3	55529.1	56838.8	55974.1	55847	55824.5	55510.2	54788.8	56494.5	56928.2	55966.3	56397.6	59210.6	56941.7	58039.6	58319.5	56569	58528.6	55395.6	53678.4	54867.2	53300.1	53612.3	52371.3	52820.5	52770.3	54228.1	56001.9	58324.3	57163.6
